,BoatHash,W_score,H_score
240,-7312796688196183514,12,18
241,-8980011876319859010,25,14
242,2185918282694951065,2,3
243,2997754799023640264,47,73
244,9044916623161999000,45,19
245,3937234633702563040,47,29
246,2939956228529538541,47,16
247,8520739959944502031,42,38
248,-1755897313481153415,42,38
249,6708829087159889605,4,7
250,5087397805128906949,34,28
251,4532871509813886365,98,76
252,1137971017281215420,5,3
253,-808638798052826460,6,8
254,-3479839082713849006,5,9
255,-6729083617266822301,5,14
256,7002389305766454076,6,8
257,5857860818908967848,32,35
258,-1953797141658534391,56,48
259,928536405901171517,78,190
260,8290255442520223180,90,22
261,-8737468592679407125,29,58
262,2329860901217307071,89,38
263,-4883509596408402779,32,19
264,-8852463838707441182,30,17
265,394371108461163482,56,35
266,-3738027890503667389,72,44
267,-1713393658073550717,36,16
268,-1859156037054500830,17,11
269,-8859741818790796573,11,7
270,-1271548789784282699,2,15
271,-5619220008028248105,4,4
272,979456087477384818,19,16
273,5017375542903539954,23,25
274,-4881664726260460455,35,26
275,-1725156096142892075,13,14
276,1847205847812960543,13,11
277,7431837155904320887,13,9
278,7608861045463845980,22,16
279,1757279616224806499,18,19
280,684825999867308832,9,10
281,-6864389585679336011,5,5
282,8129568069343302830,4,6
283,-3666382185038846124,5,7
284,1545244846812788269,2,8
285,-4675194338510044110,22,59
286,2807938583985898821,13,12
287,-220029270338858754,79,92
288,-6746303274540656026,11,19
289,1427961825934142789,6,15
290,-1535982482573044190,102,55
291,5250795576508235522,30,30
292,8845303179296477020,12,12
293,5212078406156260224,24,12
294,5560913517348048094,47,29
295,1997878045275042621,35,17
296,-3883820516679098661,39,22
297,5002928228145937426,39,10
298,-590664408596174038,58,20
299,6195637600065409329,5,7
300,-5623504747099767101,6,9
301,9048152979253662527,133,129
302,-6756607939002987819,21,16
303,-1509669800254708131,26,24
304,4006637467482087606,10,11
305,-7925125618756402107,22,18
306,-8243530024569363770,16,14
307,-7731413064434351101,31,22
308,-1657320676071222099,72,87
309,-8453700176106441147,153,181
310,1167428930542638582,17,12
311,6673010446171193282,16,18
312,-2046848168618338678,31,38
313,4535636991410514959,8,9
314,7126369261286181015,5,11
315,-3207094140963322867,114,145
316,6615902178953306076,26,108
317,1723585978537679212,67,43
318,-8373574189858920303,46,26
319,-6683426561952403226,35,32
320,6723421945545762429,57,25
321,7320960122256038152,8,11
322,6007569832839958282,5,7
323,7607819230445588819,7,12
324,1903379524309719157,65,35
325,-3242764952750766401,44,67
326,8304262294115452672,7,6
327,-9061901224199927580,107,163
328,-3812460404820655853,8,8
329,7222153241641887077,3,3
330,-4712636881133912567,9,6
331,3846578518735895628,14,8
332,6553957014781009167,4,16
333,-1448849280543691562,5,9
334,-2668185872476433597,31,14
335,1318129253421748439,44,15
336,-2682080212472682713,36,25
337,-4882613948525540439,50,19
338,6620495678070276327,48,28
339,-5379746441366152601,3,3
340,-2465535892284848694,35,36
341,7665979020877126075,24,22
342,4696399359421929874,6,10
343,-2431603156167095998,6,6
344,2793237870921455111,6,7
345,508018243265454774,54,95
346,3596382597665031007,42,20
347,-1549548229847511179,64,26
348,1237466120936867932,47,56
349,8129077301897095141,53,22
350,95403745841532220,4,6
351,-2922951930574465093,3,4
352,159133285072461743,4,5
353,7630615917058737855,4,3
354,-8147719306357311679,1,3
355,8347674267608984257,3,4
356,-1278329570877068265,4,3
357,-7428404420815684752,4,4
358,1004369896911678163,4,6
359,-2364750392153607088,4,5
360,6160848059208342206,4,3
361,-1028425704180843465,5,6
362,-2522370244931012470,9,6
363,2581150790298527688,6,4
364,-2139396991250403294,10,9
365,7763049042883787130,8,9
366,-4910003596433596520,23,119
367,6659547359823727350,160,131
368,-3416491528995885643,43,29
369,-2790653807194925443,12,9
370,-966814976054103792,87,38
371,-6640296414948309479,62,34
372,8826704263844333335,4,6
373,-2426553950252937644,7,10
374,6815264166509942177,42,34
375,5481134197435395867,8,5
376,7973910857659865371,3,4
377,6517604236919697691,4,4
378,-4946553187075764230,3,3
379,-8678305621475925891,4,5
380,-8634297694795694924,32,58
381,5253527653234484659,31,56
382,7153438873277763258,33,59
383,285034890186087400,6,14
384,3826475945832640708,20,22
385,4631371506434176181,6,9
386,3440217961626717235,12,9
387,3001464398569111235,53,53
388,-2337131920316890099,26,54
389,2269906192902608982,5,9
390,425647573213110160,34,37
391,-4224255357527475409,40,44
392,8562278528290866145,8,8
393,-2467836298626869782,40,41
394,3328937130568523584,62,20
395,-5757466087694581541,12,10
396,-2788511122598850469,6,8
397,5883088494209113191,7,6
398,-8468576732102040816,12,3
399,8133903037021084067,26,29
400,7450201544280585536,71,96
401,4686238310666945788,16,32
402,8632164683800145672,5,18
403,-2531012927620238944,7,10
404,-4644007272709960721,21,12
405,6042648563018788688,7,11
406,-4497505220537380768,5,6
407,7383599981835546943,83,48
408,3157251581644850337,20,13
409,-5650401886447677257,11,15
410,5011744766122845273,53,38
411,5550252058552702181,2,6
412,97385474973598929,12,12
413,-425721723217141548,5,6
414,4351834004496458333,6,8
415,8634374360946124578,47,41
416,5161908670155027562,23,33
417,-2976979830085938872,31,135
418,-1894071893911281338,3,11
419,-6876779307607252536,4,12
420,-3173825959794667392,6,20
421,7343956971741765381,9,24
422,-6237083493460006743,19,18
423,6200990151933836542,19,22
424,7101068012398285686,10,19
425,8851238895195062960,4,4
426,-5124403988901702832,12,60
427,2624730106434640835,52,100
428,3186023996719505346,26,126
429,-2512937349053942014,79,64
430,5161981527307506161,16,32
431,-3055031742191523922,7,12
432,-6163516058950256890,5,12
433,9214445573360458258,22,37
434,-6110614521912358185,33,65
435,-4092309218764882368,8,6
436,65187394416747155,6,4
437,3969857564589989028,10,6
438,3612643034479111531,17,19
439,7227671815244232871,2,2
440,1915065765996397890,4,3
441,-8735260700536389753,2,5
442,-6100765716765668109,13,7
443,5733821100123115780,4,6
444,-1554363076307827859,5,5
445,1305312063607797709,7,6
446,-2178740765822824900,17,22
447,-1894949591287886157,7,10
448,3932107174926820464,14,6
449,-5039274091928326010,6,9
450,-6518759290326743435,8,24
451,1938454688564448007,26,33
452,-8285234875712380266,21,35
453,3555608912477260302,54,24
454,-1681957118184252979,61,23
455,5819793230224652049,29,30
456,9222018715741171650,42,20
457,56399452304945367,35,16
458,-5326830956662248933,24,11
459,2192810805425389172,24,11
460,3000375530007628709,43,16
461,-1822300711000101388,30,12
462,-4448378097032722151,20,13
463,-1917354504536877623,48,16
464,4042793528267394789,34,13
465,-7458239724488443613,9,7
466,-4601818328382688600,44,19
467,-6194511433012411891,18,9
468,2216481618897506283,41,18
469,-7074044795811167286,45,19
470,-7389498650306009095,43,13
471,3282793841432082247,9,5
472,4585948888153387373,4,10
473,-8064170416338812681,6,10
474,6498468747572506940,10,8
475,-3328705123505993284,16,16
476,-7549685547182699565,17,12
477,7849279613190813393,20,22
478,1072786611998498064,3,3
479,-6531290703041119898,15,10
480,-6732442584730049878,11,9
481,-1852743064879236664,21,25
482,-4232901865078548839,31,35
483,2038594483061590584,9,22
484,-472120735557230900,9,11
485,-9013520411557872863,69,38
486,673874509649831342,56,18
487,8887644712638136219,41,24
488,6536243843628058002,71,42
489,4075113170738605965,47,34
490,5111653415024656424,82,52
491,6675119732583530645,44,15
492,5613130319998099991,7,18
493,654589833965059439,16,17
494,-7721154461283466079,10,15
495,7881615783731974986,15,16
496,8733496433692300004,2,4
497,7095914544424314831,4,6
498,-5699998773509862596,5,8
499,-4736406730033689109,4,19
500,1097720751906214711,17,13
501,-7314506955843349819,23,20
502,4214630850973150486,41,32
503,6439066042745180211,83,58
504,-7958677948822184527,30,25
505,5702401132282635125,24,19
506,4228277353117649529,33,42
507,9006638739977352098,15,25
508,-8451238038624972445,4,10
509,-4844561927548029317,53,46
510,4790326466172668330,6,15
511,1374659604236136859,18,45
512,-7926024034033663910,4,5
513,-1698810921703677104,5,5
514,-7842271945109082160,8,12
515,3422522600487435092,56,54
516,7347946016724238341,155,131
517,1748557963534976182,46,42
518,-3580466446412827507,21,7
519,2251199814420500891,4,6
520,-3225004101994278541,13,9
521,7980340791667208291,33,84
522,6096350295963451922,7,7
523,4123659559538468295,3,6
524,-6868904900073943500,6,7
525,-3464238035804378147,9,12
526,-7736577998608886564,2,5
527,-355914590064106012,34,58
528,6433894074561314916,8,12
529,637356302815867777,8,19
530,-4724875490403945882,4,11
531,-6688699732855769899,6,8
532,2502321424514949607,6,4
533,-5875911080486331755,10,9
534,-1879184034720771787,17,19
535,996911966087730911,51,32
536,-1935142666061293744,150,74
537,3863550015201929067,6,15
538,-7717619410943605743,8,11
539,-5304221054154300880,41,58
540,2555770983262831283,16,6
541,1518603448411947692,50,48
542,807851559793258076,5,12
543,926763874632383172,9,7
544,1703182174550207962,41,18
545,6085190403730649149,92,33
546,3611109744977878280,14,19
547,3834909670254843062,42,58
548,4441469251277209068,5,9
549,7913321560386941777,5,6
550,5132197953098375391,7,13
551,4768526590739364355,36,68
552,5350050299646488423,52,120
553,5635403771139975696,61,57
554,2364077605782536933,92,38
555,881612146605518781,11,62
556,-4860490122329584584,17,6
557,8945598095424384694,33,13
558,6555468869679380317,27,11
559,-3460985798028833322,83,45
560,-6198498734011701454,9,13
561,-3677622845019681741,138,77
562,2319076935992993279,24,9
563,2114527051238682985,6,9
564,6775654198969129879,22,18
565,-3459348559804078753,9,10
566,3385596481070122212,18,9
567,6464369258486301145,6,9
568,5190440106758448983,105,57
569,5436718161902147704,2,3
570,2506324146818820759,6,29
571,-7395589913767901938,5,19
572,6841048546769829290,4,7
573,-7786664530101447452,2,6
574,-7324434510802743246,1,4
575,6203009424917994310,4,7
576,5594259928889340396,4,6
577,-429506556930137593,4,6
578,-4784129509491687824,5,8
579,4117972234387025259,35,19
580,-8816517372609108732,142,142
581,5481587232867893018,2,6
582,1549844387593206419,20,59
583,-581455301710117498,11,22
584,4842645868816613868,5,19
585,-9198967339479351146,4,14
586,7831625582219074596,8,43
587,-6968101897326139900,10,29
588,-2457772059368515473,5,37
589,8748054108499958147,3,9
590,-187260354674699960,41,23
591,5159796333098109338,24,42
592,-8477679628978420373,158,74
593,8318724477168362254,32,61
594,6457208851786359265,13,35
595,8633339917318937004,4,6
596,5178391907229840731,4,6
597,-8319035111274868653,3,6
598,8127714533725883097,110,50
599,-5493896993790024491,2,6
600,1122484254311324255,5,14
601,1230780239454587871,13,24
602,2253420544542239533,5,8
603,3463939378641353955,101,200
604,8226556120366226492,19,15
605,-7339715591135664688,117,46
606,-8811629953278751460,165,137
607,-8135915135340283141,34,26
608,2297876852312959226,12,12
609,-5875816108636631590,8,9
610,6969866608851926824,5,9
611,5432308546927983601,6,9
612,-5716236792135072313,1,3
613,572227121846822029,7,9
614,-7924034482363721952,1,3
615,6523955904243253120,132,194
616,3280547796749968883,42,132
617,-3252442390516954130,5,4
618,6488079130114443459,17,33
619,3545416271629352529,4,9
620,5568293001276748300,4,7
621,4736012247769408082,34,48
622,-2599367671100760096,6,8
623,-311367371524177773,6,9
624,-6322100233697246163,6,8
625,-3849407003829207504,6,9
626,8249926614769297825,2,6
627,-7609879973954307960,15,25
628,-1907403059654867671,5,9
629,4350312460951704366,5,7
630,-4960100549365345344,45,16
631,8025041016932723472,30,22
632,-9143096887563290102,71,48
633,7751059985680785970,33,25
634,6121361592599454187,7,6
635,-4991305848732104270,60,53
636,7566470576528871397,6,9
637,-4334469172015982092,4,7
638,6635828730899766736,10,16
639,139815716871162138,13,20
640,5489258871192410505,10,14
641,2842382770786523804,16,22
642,-1495387272699189482,14,21
643,4872148188431849444,8,6
644,-8545577808401854280,73,76
645,8766355074364805313,11,16
646,2979889631340292168,94,21
647,370485659079510049,128,25
648,1899582696233073745,99,19
649,-1065027603449627157,106,16
650,2947387983135922848,94,22
651,-9041323796429330904,97,17
652,-7033750425934996960,97,16
653,2715743708511337123,17,16
654,2734598641094025383,89,30
655,-7589999240285907567,97,74
656,-5049028045933758410,145,64
657,-3661660837676835997,64,22
658,-8072699133184337389,4,7
659,-6928282600626819548,40,42
660,1877044616357492948,106,93
661,5055924931655992515,5,6
662,3248408650516202766,7,5
663,650565925797847141,7,4
664,2392046669891764010,8,6
665,-1301056345640078384,4,5
666,8552574330386962937,8,9
667,6576267328759172326,31,69
668,6733818314689420403,12,16
669,-3235953647162051770,18,32
670,1158101668440247652,20,33
671,-9147367560975016912,11,21
672,1499492153454846533,25,45
673,2918660193038597453,16,28
674,-8856679013303812370,3,7
675,-7539065738217113167,10,17
676,-8516078781291799903,19,34
677,6035592306615648661,13,18
678,-488121634833333879,8,9
679,7462301237735675215,8,12
680,870224879698214636,7,11
681,-9182981598042921645,6,10
682,-2273350769223440841,10,17
683,-2742233691808757323,6,10
684,8372921590715670953,35,12
685,-2768591350929525954,26,14
686,-8385653654815220012,10,7
687,-5125441379183469216,5,7
688,7538795188618713473,7,7
689,3485290122045131085,31,22
690,392827814467255643,36,19
691,-4430938968641180136,30,25
692,7529985136068757321,43,40
693,-8732566314610010715,26,20
694,7119473185259470988,42,35
695,-7347556909653567661,28,22
696,-3103439291328402815,41,30
697,2899040929556703863,29,22
698,8936284902982184300,38,34
699,-7213194565454922669,21,18
700,-6595256326762909765,33,24
701,-7450134663025626622,15,13
702,7696309317040548334,43,38
703,-6238450345467270586,34,16
704,-6219832779324586011,69,55
705,-4371866455921437353,139,70
706,-5314204701881434,11,21
707,3595901710418165400,38,35
708,56500104518299490,12,22
709,-4205108037157141681,10,7
710,-2293710706242200722,22,31
711,5082071725080543405,36,30
712,-597209192500141117,14,18
713,1694455872088701037,8,12
714,-2675127790133492572,24,24
715,-5103477295311368953,112,107
716,6593843612502746494,34,151
717,5394144938519585445,17,11
718,2833603847376767987,6,12
719,5152620215828888671,22,62
720,8785515719273667740,8,9
721,-3165336025610781970,29,107
722,5024628440177344621,163,68
723,-1888276523818092696,45,19
724,-5705223604516539909,5,2
725,8925161714100485154,3,7
726,-8674370829206167480,17,62
727,-2908806954363792910,65,54
728,-8290955814695472172,13,31
729,-5682645420103071267,149,129
730,-9021120351145106237,104,86
731,1601465559716686564,8,9
732,-8255975832665764710,11,10
733,-1315853645085889353,80,174
734,4953890470871525427,39,9
735,-6824368573359929011,12,4
736,4848937791981915404,57,21
737,7190337981310047989,8,3
738,-2433164703260464296,9,3
739,-2383850340561307821,14,4
740,-8240407115796139085,19,6
741,6892144504679140568,12,6
742,6139011815763990464,8,3
743,-320475294885193014,35,8
744,5943938963657416765,4,10
745,-1109164256394328013,9,13
746,4115454910077508188,9,37
747,-6545420129934208346,5,7
748,-4897149039889276549,10,27
749,-6095828109305902674,10,19
750,7083966661398355122,39,58
751,3423378660094827695,10,22
752,-6757015891647978872,6,9
753,3326175656564971359,10,18
754,5921205452123551634,8,21
755,3463440743993861719,12,21
756,-5026365660856497451,12,15
757,970374176929839859,9,17
758,4673816787947736355,6,8
759,4302171242730479425,27,51
760,6680510674266697425,4,7
761,-1400605499142764252,11,9
762,-942941100213964090,4,7
763,-5944393659020982149,4,6
764,-7435625956132881489,2,5
765,-2188787932787294826,8,7
766,-860898984534319634,5,7
767,-9206767774883408846,7,10
768,-1081296745793356366,5,9
769,6403021400717246048,0,1
770,-824109382989770261,9,11
771,-433136014218553871,5,12
772,-3715371493752219518,9,14
773,-2131142201994741538,5,9
774,-5665651675896332845,4,8
775,883158132576256846,5,10
776,3105478492388450807,5,10
777,-8220341713565954736,7,6
778,2000773600573301649,4,8
779,607182162378089525,5,9
780,-9004417656502172410,5,12
781,-4450330923270489653,8,7
782,-6399817004554322973,10,19
783,-3474862799670204208,88,70
784,7949544229385383103,124,69
785,-6527750318185275053,12,13
786,-8525909202879101748,9,9
787,-3808339991445504116,117,45
788,-1623513336595979002,42,40
789,8439541124091759902,67,50
790,2643828309019696958,63,16
791,7528840083706555407,52,14
792,1403963044875830626,76,21
793,5524645653256807220,9,11
794,-8831196687398166005,5,9
795,-8889785830514113382,6,11
796,-2270843191175565818,4,5
797,3496924866320625622,61,128
798,-4063187589560625014,41,13
799,-9171671196882129635,11,7
800,5311989905630478732,28,15
801,3641771348159275306,7,6
802,941172826996078261,15,11
803,3568411454860698158,41,22
804,-8428634410062590420,36,14
805,6883742880815429083,4,3
806,-2636852231975365399,5,8
807,1168011659209812806,7,10
808,-3342755273163818096,52,31
809,3199952336891916245,6,25
810,4898643064602825642,7,7
811,5035763623485622679,39,18
812,-2600394873108589418,12,8
813,299414610241096161,6,17
814,-1840500397758289570,23,51
815,778700848826084911,5,9
816,6923851091920988108,5,7
817,4705441721977448677,4,6
818,-3624864771813985884,5,8
819,-8462442385478539882,5,7
820,6797372935617668948,6,9
821,6371869662556399563,9,12
822,6604509110376224653,4,6
823,-9068877547257796158,6,6
824,6168520040929023483,9,14
825,620656793639680528,6,8
826,3684256061732911403,6,8
827,-6033953919989974553,5,6
828,-6628388173013550839,11,20
829,-3846748833620287870,7,8
830,2667617766959453439,49,34
831,-1640062682776622993,46,35
832,3002182182202087475,43,25
833,8764431686474556885,13,5
834,8452460649888983555,44,18
835,7994675956429327833,9,9
836,-2700482221214591637,12,9
837,5967713398942312736,14,10
838,-5599931947536002839,58,126
839,-4109304072686578,14,10
840,-6819327498104015755,5,5
841,-4823461506074038141,4,14
842,8278053287770796337,11,47
843,-4367387208959477103,9,12
844,-2367205476745365611,38,25
845,-994805595136808653,12,15
846,-4934998712406551449,10,22
847,7377659945497742281,16,22
848,4822668962784366821,17,23
849,1331854775610666805,19,37
850,-5123550206363602964,88,43
851,-7183937379285466358,14,16
852,-4433066348621608928,67,58
853,7842419965139234910,28,29
854,-7603659493103309998,5,6
855,-67203015421090094,90,41
856,3477707673451754128,4,8
857,3009297058669843344,12,7
858,4902028005369929828,45,70
859,-4787563103374955328,13,10
860,3855150285950282136,87,91
861,-9105825202204192780,10,75
862,-175645397369438970,12,76
863,-8797207683023540572,9,74
864,2450886465753101164,10,75
865,-5702846966522816502,38,48
866,-591542772991371235,7,10
867,-2277552693730758306,4,6
868,-1683485882668282773,109,32
869,-5129035901899238077,24,14
870,-1933262774744754300,57,18
871,-4583644414321505746,23,11
872,-2884663373065637235,9,14
873,-8082999579322434172,34,71
874,-8303267640271514969,13,19
875,1221610046983549942,10,18
876,-4850106654162854289,46,31
877,7393820713827949039,11,6
878,5749055502623342898,77,36
879,2670694774876502277,87,42
880,2914696628007808502,4,8
881,2843479565873685406,12,16
882,7740665607658710928,14,12
883,8181524732754029411,7,6
884,2192532393125574341,58,24
885,-66002150646563464,15,22
886,4391258535746815122,11,16
887,-5691114031414735597,9,32
888,-6599447946333790451,8,30
889,4955198796769278891,11,35
890,3448371564929266800,10,42
891,3209018071476368285,10,32
892,-1081893943708510551,34,48
893,-8230618721546274343,6,37
894,3195351329747176544,24,34
895,7431678083202648883,17,48
896,3264939434784574410,14,40
897,3888020116890128064,5,14
898,8614849196007790251,12,16
899,5017574084548255507,8,6
900,157646402317359695,3,3
901,4355895714485661946,1,4
902,-1632755679342254710,2,3
903,-1861548117764505198,30,29
904,-1515884663502818533,42,43
905,6193493219484971055,1,4
906,2937585873873084224,5,9
907,590476702056429564,49,45
908,5117938165974347497,5,8
909,-4018136966873336661,9,11
910,-576926962300929826,12,11
911,3874007173816253796,7,6
912,8044794169038541298,6,5
913,-303268973379328864,6,5
914,5078363412439422415,8,9
915,-7930199045925961162,6,7
916,-2708197376500384669,9,12
917,-3376205991925656431,8,9
918,-165584904949149079,4,11
919,1364905517003820235,7,10
920,7605368432261168258,27,16
921,-3544437257007749404,26,29
922,7348288211363059638,24,27
923,1130959673550030944,19,29
924,1494322714024676892,23,35
925,-1358167591407796691,26,25
926,-8220948058479134196,29,32
927,7243652207104412084,45,34
928,-8236485703530374960,112,55
929,8492765802667734281,19,26
930,2597371050791148469,28,24
931,-7460766576598094397,38,22
932,-2341749284517924083,58,42
933,9057773905279617280,9,71
934,-1905899427418130529,4,3
935,-7835901613190528985,13,30
936,-2926541349204034836,8,34
937,5071797829624049418,34,45
938,-5750654059262895923,9,32
939,8988409003500943748,23,135
940,9085232088168515962,48,47
941,5424061935014204523,13,18
942,5029112031180357469,8,15
943,-7420890499932173251,65,82
944,8603635853702425511,9,16
945,1486337134102993845,9,8
946,-594227574867290922,5,9
947,6674207109061222112,17,28
948,-2912759039961817177,43,38
949,-2449211582050188092,33,46
950,-3642392061491367671,5,14
951,-844588131825116155,41,62
952,-822445375663370886,9,16
953,-1098578223895425537,4,4
954,-8846610716225644996,32,33
955,6317970957918024651,12,23
956,6800890452635499326,108,105
957,-4342922237139312120,69,81
958,4920807844058354823,8,10
959,3698765276528169820,4,9
960,3611587312821813965,6,11
961,-8259529354071087611,2,3
962,-7285593290518646733,4,10
963,-1558030765999813651,5,6
964,-7019944204726430864,2,6
965,-590531432275073932,5,9
966,-119854491083185267,4,10
967,-1542322036108021054,6,12
968,-688671519169137303,4,9
969,4103738721430132019,8,6
970,-6482207756820745564,72,28
971,-7516410018506117571,7,10
